community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	IMR_32	5	0.7975927465943011
10	1	GI_ME_N	1	0.806464976361977
11	1	SIMA	1	0.7184349866709449
12	1	LAN2	1	0.7120253164556962
13	1	NBL_S	1	0.7120253164556962
14	1	LAN6	0	NA
15	1	LS	0	NA
16	1	NMB	0	NA
17	1	SH_SY5Y	0	NA
18	1	SK_N_BE_2	0	NA
2	1	NGP	5	0.7600781455191674
3	1	LAN5	4	0.8001565664980925
4	1	MHH_NB_11	4	0.734005072965316
5	1	CHP_126	4	0.7229830485391752
6	1	LAN1	2	0.7480887064912258
7	1	KELLY	2	0.719739264160189
8	1	CHP_134	1	0.8357308980466833
9	1	CCLF_PEDS_0051_T	1	0.806464976361977
