cell_tech_id	tumour_id	n_methods	p_consensus	sample_id	cell_line	cell_line_canonical	cell_line_display
CELL:CCLF_PEDS_0051_T	TARGET-30-PAIVHE-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PAIXIF-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PALKUC-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PAMZGT-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PANJLH-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PANRVJ-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PAPBJE-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PAPKWN-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PAPTAN-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PAPTDH-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PAPTLV-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PAPZYP-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PARACM-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PARBAJ-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PARNNC-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PARZCJ-02A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PASFGG-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PASFIC-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PASGAP-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PASGAP-02A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PASMDM-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PASNPG-02A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PASTKC-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PATDXC-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PATEKG-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	TARGET-30-PAUDDK-01A-01R	3	0.75	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	GSE189367_SRR17010998	2	0.5	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
