cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
NGP	NG-A0611_NGP_libLAB6082	NGP	NGP	5	8	1	1	1	0.8121462810529677	0.8871324585617182	FALSE
SIMA	NG-A0611_SIMA_libLAB6086	SIMA	SIMA	1	0	1	1	10	0.7511502422598247	0.7511502422598247	FALSE
IMR_32	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32	5	14	1	2	2	0.8053884649269983	0.8657342869734869	FALSE
LAN5	NG-A0611_LAN5_libLAB6087	LAN5	LAN5	4	4	1	1	3	0.8431795450042922	0.8871324585617182	FALSE
CHP_126	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126	4	4.5	1	3	4	0.8074950506368945	0.8592569308705076	FALSE
MHH_NB_11	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11	4	8.5	1	1	5	0.7748839728455685	0.8491028533725498	FALSE
KELLY	NG-A0611_KELLY_libLAB6075	KELLY	KELLY	3	2.5	1	1	6	0.750787274263765	0.7714098922636046	FALSE
CHP_134	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134	2	0	1	2	7	0.8425687622435087	0.8657342869734869	FALSE
NMB	NG-A0611_NMB_libLAB6080	NMB	NMB	2	0.5	1	3	8	0.7921085435056653	0.812807194747726	FALSE
LAN1	NG-A0611_LAN1_libLAB6085	LAN1	LAN1	2	0	1	2	9	0.7824945966344538	0.8194032375135306	FALSE
CCLF_PEDS_0051_T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	0	0	2	4	11	NA	NA	TRUE
GI_ME_N	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N	0	0	3	5	12	NA	NA	TRUE
LAN2	NG-A0611_LAN2_libLAB6083	LAN2	LAN2	0	0	4	6	13	NA	NA	TRUE
LAN6	NG-A0611_LAN6_libLAB6089	LAN6	LAN6	0	0	5	7	14	NA	NA	TRUE
LS	NG-A0611_LS_libLAB6078	LS	LS	0	0	6	8	15	NA	NA	TRUE
NBL_S	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S	0	0	7	9	16	NA	NA	TRUE
SH_SY5Y	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y	0	0	8	10	17	NA	NA	TRUE
SK_N_BE_2	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2	0	0	9	11	18	NA	NA	TRUE
