community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	NBL_S	4	0.8582504137561298
10	1	CHP_126	2	0.79972954361228
11	1	LAN5	1	0.8507853403141361
12	1	NMB	1	0.8223192019950125
13	1	LAN2	1	0.8144470285207973
14	1	CCLF_PEDS_0051_T	0	NA
15	1	GI_ME_N	0	NA
16	1	LS	0	NA
17	1	SH_SY5Y	0	NA
18	1	SK_N_BE_2	0	NA
2	1	KELLY	4	0.8577346376764918
3	1	IMR_32	4	0.8398012723845772
4	1	CHP_134	3	0.8388453357318918
5	1	SIMA	3	0.826688966159369
6	1	NGP	3	0.7846734163662468
7	1	LAN6	2	0.9091510254763899
8	1	LAN1	2	0.8498796001028427
9	1	MHH_NB_11	2	0.8007664606060743
