cell_line1	cell_line2	similarity	sample_id1	cell_line1_display	sample_id2	cell_line2_display
CCLF_PEDS_0051_T	CHP_126	-0.2650809241625147	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_CHP126_libLAB6088	CHP_126
CCLF_PEDS_0051_T	CHP_134	-0.26365455759877565	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_CHP134_libLAB6074	CHP_134
CHP_126	CHP_134	0.7356386141971134	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_CHP134_libLAB6074	CHP_134
CCLF_PEDS_0051_T	GI_ME_N	0.40867187231009716	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_GIMEN_libLAB6073	GI_ME_N
CHP_126	GI_ME_N	-0.2700938433167775	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_GIMEN_libLAB6073	GI_ME_N
CHP_134	GI_ME_N	-0.2686405028759443	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_GIMEN_libLAB6073	GI_ME_N
CCLF_PEDS_0051_T	IMR_32	-0.2608695652173913	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_IMR32_libLAB6079	IMR_32
CHP_126	IMR_32	0.6851605553700554	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_IMR32_libLAB6079	IMR_32
CHP_134	IMR_32	0.9044816073180221	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_IMR32_libLAB6079	IMR_32
GI_ME_N	IMR_32	-0.265802843778925	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_IMR32_libLAB6079	IMR_32
CCLF_PEDS_0051_T	KELLY	-0.2650809241625147	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_KELLY_libLAB6075	KELLY
CHP_126	KELLY	0.5470445192667415	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_KELLY_libLAB6075	KELLY
CHP_134	KELLY	0.33637698899048585	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_KELLY_libLAB6075	KELLY
GI_ME_N	KELLY	-0.2700938433167775	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_KELLY_libLAB6075	KELLY
IMR_32	KELLY	0.3328238270040462	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_KELLY_libLAB6075	KELLY
CCLF_PEDS_0051_T	LAN1	-0.2608695652173913	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LAN1_libLAB6085	LAN1
CHP_126	LAN1	0.6424530731438725	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN1_libLAB6085	LAN1
CHP_134	LAN1	0.6920932136967861	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN1_libLAB6085	LAN1
