cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
IMR_32	5	0.8232903415287799	0.8638316658564981	FALSE	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32
CHP_126	3	0.8255311931632613	0.8320273334944422	FALSE	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126
LAN5	3	0.8103172393739525	0.8427269829123644	FALSE	NG-A0611_LAN5_libLAB6087	LAN5	LAN5
KELLY	3	0.7912833252085291	0.8084101886007582	FALSE	NG-A0611_KELLY_libLAB6075	KELLY	KELLY
NGP	3	0.7764647641012936	0.7851971059980598	FALSE	NG-A0611_NGP_libLAB6082	NGP	NGP
CHP_134	2	0.8365234390003894	0.8638316658564981	FALSE	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134
LAN6	2	0.8339663816597499	0.8595225747187416	FALSE	NG-A0611_LAN6_libLAB6089	LAN6	LAN6
NBL_S	2	0.8288344078537065	0.8595225747187416	FALSE	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S
LAN1	2	0.8049601006491469	0.8092152121442807	FALSE	NG-A0611_LAN1_libLAB6085	LAN1	LAN1
LS	2	0.7859000757178958	0.7866030454377316	FALSE	NG-A0611_LS_libLAB6078	LS	LS
CCLF_PEDS_0051_T	1	0.8280701754385965	0.8280701754385965	FALSE	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
GI_ME_N	1	0.8280701754385965	0.8280701754385965	FALSE	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N
NMB	1	0.8233779608650875	0.8233779608650875	FALSE	NG-A0611_NMB_libLAB6080	NMB	NMB
SH_SY5Y	1	0.7866030454377316	0.7866030454377316	FALSE	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y
SIMA	1	0.7672935460361576	0.7672935460361576	FALSE	NG-A0611_SIMA_libLAB6086	SIMA	SIMA
LAN2	0	NA	NA	TRUE	NG-A0611_LAN2_libLAB6083	LAN2	LAN2
MHH_NB_11	0	NA	NA	TRUE	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11
SK_N_BE_2	0	NA	NA	TRUE	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2
