cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
NGP	6	0.8245604276462324	0.8495857552500313	FALSE	NG-A0611_NGP_libLAB6082	NGP	NGP
LAN5	4	0.8607912104796369	0.8750516940891953	FALSE	NG-A0611_LAN5_libLAB6087	LAN5	LAN5
IMR_32	4	0.8527443396730192	0.8723341422441978	FALSE	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32
CHP_126	4	0.8282178515710658	0.8581983678670406	FALSE	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126
MHH_NB_11	3	0.8300850155009927	0.8750516940891953	FALSE	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11
KELLY	3	0.7979807878525792	0.8113378799629247	FALSE	NG-A0611_KELLY_libLAB6075	KELLY	KELLY
CHP_134	2	0.8590346162572089	0.8683297696190431	FALSE	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134
NBL_S	2	0.8301304597792696	0.8489230395956144	FALSE	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S
LAN1	1	0.8683297696190431	0.8683297696190431	FALSE	NG-A0611_LAN1_libLAB6085	LAN1	LAN1
LAN6	1	0.8489230395956144	0.8489230395956144	FALSE	NG-A0611_LAN6_libLAB6089	LAN6	LAN6
LS	1	0.8198921645277083	0.8198921645277083	FALSE	NG-A0611_LS_libLAB6078	LS	LS
SIMA	1	0.7903064130300715	0.7903064130300715	FALSE	NG-A0611_SIMA_libLAB6086	SIMA	SIMA
CCLF_PEDS_0051_T	0	NA	NA	TRUE	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
GI_ME_N	0	NA	NA	TRUE	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N
LAN2	0	NA	NA	TRUE	NG-A0611_LAN2_libLAB6083	LAN2	LAN2
NMB	0	NA	NA	TRUE	NG-A0611_NMB_libLAB6080	NMB	NMB
SH_SY5Y	0	NA	NA	TRUE	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y
SK_N_BE_2	0	NA	NA	TRUE	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2
