community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	LAN5	5	0.8389764662574116
10	1	LAN6	1	0.8318336608529902
11	1	SIMA	1	0.8233475212501846
12	1	CHP_134	1	0.8180187192843182
13	1	LAN1	1	0.8180187192843182
14	1	CCLF_PEDS_0051_T	0	NA
15	1	GI_ME_N	0	NA
16	1	LS	0	NA
17	1	SH_SY5Y	0	NA
18	1	SK_N_BE_2	0	NA
2	1	NGP	5	0.8272223020579994
3	1	CHP_126	4	0.8502047079644987
4	1	NMB	3	0.8666747812480212
5	1	NBL_S	3	0.8238128311570501
6	1	KELLY	3	0.8054752380415371
7	1	MHH_NB_11	2	0.8145938434531631
8	1	LAN2	2	0.8119119156333758
9	1	IMR_32	1	0.8365902072548935
