cell_line1	cell_line2	similarity	sample_id1	cell_line1_display	sample_id2	cell_line2_display
CHP_126	NMB	0.905289287760168	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_NMB_libLAB6080	NMB
NGP	NMB	0.8524915898477494	NG-A0611_NGP_libLAB6082	NGP	NG-A0611_NMB_libLAB6080	NMB
CHP_126	LAN5	0.8508709187576531	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN5_libLAB6087	LAN5
CHP_126	NGP	0.8464641661311841	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_NGP_libLAB6082	NGP
LAN5	NMB	0.8422434661361461	NG-A0611_LAN5_libLAB6087	LAN5	NG-A0611_NMB_libLAB6080	NMB
IMR_32	LAN5	0.8365902072548935	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LAN5_libLAB6087	LAN5
LAN5	NGP	0.8341845114410285	NG-A0611_LAN5_libLAB6087	LAN5	NG-A0611_NGP_libLAB6082	NGP
LAN6	NBL_S	0.8318336608529902	NG-A0611_LAN6_libLAB6089	LAN6	NG-A0611_NBLS_libLAB6077	NBL_S
LAN5	MHH_NB_11	0.8309932276973367	NG-A0611_LAN5_libLAB6087	LAN5	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
NBL_S	SIMA	0.8233475212501846	NG-A0611_NBLS_libLAB6077	NBL_S	NG-A0611_SIMA_libLAB6086	SIMA
CHP_134	LAN1	0.8180187192843182	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN1_libLAB6085	LAN1
KELLY	NBL_S	0.8162573113679755	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_NBLS_libLAB6077	NBL_S
LAN2	NGP	0.8133133356900754	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_NGP_libLAB6082	NGP
KELLY	LAN2	0.8105104955766763	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LAN2_libLAB6083	LAN2
CHP_126	MHH_NB_11	0.7981944592089895	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
KELLY	NGP	0.7896579071799594	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_NGP_libLAB6082	NGP
