cell_tech_id	tumour_id	n_methods	p_consensus	sample_id	cell_line	cell_line_canonical	cell_line_display
CELL:CCLF_PEDS_0051_T	GSE100148_SRR5710457	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	GSE100148_SRR5710462	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	GSE100148_SRR5710467	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	GSE189367_SRR17010998	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	GSE189367_SRR17011000	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	GSE49711_SRR5710457	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	GSE49711_SRR5710462	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	GSE49711_SRR5710467	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	SRP409177_SRR22373268	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	SRP409177_SRR22373269	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	SRP409177_SRR22373273	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	SRP409177_SRR22373274	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	SRP409177_SRR22373275	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	SRP409177_SRR22373286	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
CELL:CCLF_PEDS_0051_T	SRP409177_SRR22373289	2	1	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
