cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
CHP_134	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134	5	15.266666666666667	1	1	1	0.6770446735395189	0.7381443298969073	FALSE
NBL_S	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S	1	0	2	4	10	0.6423451100870455	0.6423451100870455	FALSE
LS	NG-A0611_LS_libLAB6078	LS	LS	1	0	1	1	11	0.6072164948453608	0.6072164948453608	FALSE
NGP	NG-A0611_NGP_libLAB6082	NGP	NGP	1	0	1	3	12	0.6072164948453608	0.6072164948453608	FALSE
LAN2	NG-A0611_LAN2_libLAB6083	LAN2	LAN2	1	0	3	5	13	0.576427453203243	0.576427453203243	FALSE
SH_SY5Y	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y	1	0	3	5	14	0.576427453203243	0.576427453203243	FALSE
LAN5	NG-A0611_LAN5_libLAB6087	LAN5	LAN5	4	7.933333333333333	1	2	2	0.7163230240549827	0.8254295532646048	FALSE
IMR_32	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32	4	9.8	1	2	3	0.7054123711340206	0.8254295532646048	FALSE
CHP_126	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126	3	2.0666666666666664	1	2	4	0.7090492554410079	0.8254295532646048	FALSE
KELLY	NG-A0611_KELLY_libLAB6075	KELLY	KELLY	3	1.7333333333333332	1	1	5	0.6654066437571592	0.7381443298969073	FALSE
LAN1	NG-A0611_LAN1_libLAB6085	LAN1	LAN1	3	10.2	1	3	6	0.6072164948453608	0.6072164948453608	FALSE
SK_N_BE_2	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2	2	0	1	1	7	0.6945017182130584	0.7381443298969073	FALSE
NMB	NG-A0611_NMB_libLAB6080	NMB	NMB	2	0	1	2	8	0.6072164948453608	0.6072164948453608	FALSE
LAN6	NG-A0611_LAN6_libLAB6089	LAN6	LAN6	1	0	2	4	9	0.6423451100870455	0.6423451100870455	FALSE
CCLF_PEDS_0051_T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	0	0	4	6	15	NA	NA	TRUE
GI_ME_N	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N	0	0	5	7	16	NA	NA	TRUE
MHH_NB_11	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11	0	0	6	8	17	NA	NA	TRUE
SIMA	NG-A0611_SIMA_libLAB6086	SIMA	SIMA	0	0	7	9	18	NA	NA	TRUE
