cell_line1	cell_line2	similarity	sample_id1	cell_line1_display	sample_id2	cell_line2_display
CCLF_PEDS_0051_T	CHP_126	-0.2656357388316151	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_CHP126_libLAB6088	CHP_126
CCLF_PEDS_0051_T	CHP_134	-0.09106529209621993	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_CHP134_libLAB6074	CHP_134
CHP_126	CHP_134	0.4762886597938144	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_CHP134_libLAB6074	CHP_134
CCLF_PEDS_0051_T	GI_ME_N	0.3017182130584192	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_GIMEN_libLAB6073	GI_ME_N
CHP_126	GI_ME_N	-0.17835051546391753	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_GIMEN_libLAB6073	GI_ME_N
CHP_134	GI_ME_N	0.2580756013745705	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_GIMEN_libLAB6073	GI_ME_N
CCLF_PEDS_0051_T	IMR_32	-0.17835051546391753	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_IMR32_libLAB6079	IMR_32
CHP_126	IMR_32	0.6945017182130584	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_IMR32_libLAB6079	IMR_32
CHP_134	IMR_32	0.6945017182130584	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_IMR32_libLAB6079	IMR_32
GI_ME_N	IMR_32	-0.003780068728522337	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_IMR32_libLAB6079	IMR_32
CCLF_PEDS_0051_T	KELLY	-0.13470790378006872	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_KELLY_libLAB6075	KELLY
CHP_126	KELLY	0.38900343642611684	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_KELLY_libLAB6075	KELLY
CHP_134	KELLY	0.7381443298969073	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_KELLY_libLAB6075	KELLY
GI_ME_N	KELLY	0.21443298969072164	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_KELLY_libLAB6075	KELLY
IMR_32	KELLY	0.6072164948453608	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_KELLY_libLAB6075	KELLY
CCLF_PEDS_0051_T	LAN1	-0.2656357388316151	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LAN1_libLAB6085	LAN1
CHP_126	LAN1	0.563573883161512	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN1_libLAB6085	LAN1
CHP_134	LAN1	0.6072164948453608	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN1_libLAB6085	LAN1
GI_ME_N	LAN1	-0.04742268041237113	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_LAN1_libLAB6085	LAN1
IMR_32	LAN1	0.563573883161512	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LAN1_libLAB6085	LAN1
KELLY	LAN1	0.563573883161512	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LAN1_libLAB6085	LAN1
CCLF_PEDS_0051_T	LAN2	-0.048024333711311866	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LAN2_libLAB6083	LAN2
CHP_126	LAN2	0.08980821727934592	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN2_libLAB6083	LAN2
CHP_134	LAN2	0.19318263052233925	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN2_libLAB6083	LAN2
GI_ME_N	LAN2	0.39993145700832594	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_LAN2_libLAB6083	LAN2
IMR_32	LAN2	0.26209890601766817	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LAN2_libLAB6083	LAN2
KELLY	LAN2	0.26209890601766817	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LAN2_libLAB6083	LAN2
LAN1	LAN2	0.12426635502701036	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_LAN2_libLAB6083	LAN2
CCLF_PEDS_0051_T	LAN5	-0.2656357388316151	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LAN5_libLAB6087	LAN5
CHP_126	LAN5	0.8254295532646048	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN5_libLAB6087	LAN5
CHP_134	LAN5	0.563573883161512	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN5_libLAB6087	LAN5
GI_ME_N	LAN5	-0.13470790378006872	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_LAN5_libLAB6087	LAN5
IMR_32	LAN5	0.8254295532646048	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LAN5_libLAB6087	LAN5
KELLY	LAN5	0.43264604810996565	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LAN5_libLAB6087	LAN5
LAN1	LAN5	0.6072164948453608	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_LAN5_libLAB6087	LAN5
LAN2	LAN5	0.19318263052233925	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_LAN5_libLAB6087	LAN5
CCLF_PEDS_0051_T	LAN6	-0.16550898867242728	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LAN6_libLAB6089	LAN6
CHP_126	LAN6	0.09817827105837532	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN6_libLAB6089	LAN6
CHP_134	LAN6	0.02283905399243172	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN6_libLAB6089	LAN6
GI_ME_N	LAN6	0.13584787959134711	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_LAN6_libLAB6089	LAN6
IMR_32	LAN6	-0.014830554540540079	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LAN6_libLAB6089	LAN6
KELLY	LAN6	0.1735174881243189	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LAN6_libLAB6089	LAN6
LAN1	LAN6	0.2111870966572907	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_LAN6_libLAB6089	LAN6
LAN2	LAN6	0.3793878963034244	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_LAN6_libLAB6089	LAN6
