cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
IMR_32	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32	6	12	1	1	1	0.785817237951483	0.8792003816177455	FALSE
GI_ME_N	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N	1	0	2	3	10	0.7890625	0.7890625	FALSE
CHP_134	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134	4	1.3333333333333335	1	2	2	0.8313492667474609	0.8524590163934426	FALSE
LS	NG-A0611_LS_libLAB6078	LS	LS	4	1.3333333333333335	1	2	3	0.7784409139802824	0.8368574046006524	FALSE
KELLY	NG-A0611_KELLY_libLAB6075	KELLY	KELLY	4	1.3333333333333335	1	2	4	0.7738125722287436	0.8459599790416148	FALSE
LAN5	NG-A0611_LAN5_libLAB6087	LAN5	LAN5	3	0	1	1	5	0.8401682431479441	0.8792003816177455	FALSE
SK_N_BE_2	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2	3	0	1	2	6	0.8035532048144254	0.8524590163934426	FALSE
CHP_126	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126	3	0	1	1	7	0.7986288971764455	0.8695652173913043	FALSE
LAN1	NG-A0611_LAN1_libLAB6085	LAN1	LAN1	3	0	1	1	8	0.7557969412729024	0.7717391304347826	FALSE
CCLF_PEDS_0051_T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	1	0	2	3	9	0.7890625	0.7890625	FALSE
LAN2	NG-A0611_LAN2_libLAB6083	LAN2	LAN2	0	0	3	4	11	NA	NA	TRUE
LAN6	NG-A0611_LAN6_libLAB6089	LAN6	LAN6	0	0	4	5	12	NA	NA	TRUE
MHH_NB_11	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11	0	0	5	6	13	NA	NA	TRUE
NBL_S	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S	0	0	6	7	14	NA	NA	TRUE
NGP	NG-A0611_NGP_libLAB6082	NGP	NGP	0	0	7	8	15	NA	NA	TRUE
NMB	NG-A0611_NMB_libLAB6080	NMB	NMB	0	0	8	9	16	NA	NA	TRUE
SH_SY5Y	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y	0	0	9	10	17	NA	NA	TRUE
SIMA	NG-A0611_SIMA_libLAB6086	SIMA	SIMA	0	0	10	11	18	NA	NA	TRUE
