cell_line	max_p__Variance_euc	max_p__Variance_corr	max_p__MAD_euc	max_p__MAD_corr	max_p__MeanAbsDev_euc	max_p__MeanAbsDev_corr	max_p__Entropy_euc	max_p__Entropy_corr	max_p__PCA_euc	max_p__PCA_corr	max_p__Spearman_euc	max_p__Spearman_corr	max_p__MX_euc	max_p__MX_corr	max_p__kTotal_euc	max_p__kTotal_corr	max_p__HVG_euc	max_p__HVG_corr	frac_ge_thr__Variance_euc	frac_ge_thr__Variance_corr	frac_ge_thr__MAD_euc	frac_ge_thr__MAD_corr	frac_ge_thr__MeanAbsDev_euc	frac_ge_thr__MeanAbsDev_corr	frac_ge_thr__Entropy_euc	frac_ge_thr__Entropy_corr	frac_ge_thr__PCA_euc	frac_ge_thr__PCA_corr	frac_ge_thr__Spearman_euc	frac_ge_thr__Spearman_corr	frac_ge_thr__MX_euc	frac_ge_thr__MX_corr	frac_ge_thr__kTotal_euc	frac_ge_thr__kTotal_corr	frac_ge_thr__HVG_euc	frac_ge_thr__HVG_corr	median_p__Variance_euc	median_p__Variance_corr	median_p__MAD_euc	median_p__MAD_corr	median_p__MeanAbsDev_euc	median_p__MeanAbsDev_corr	median_p__Entropy_euc	median_p__Entropy_corr	median_p__PCA_euc	median_p__PCA_corr	median_p__Spearman_euc	median_p__Spearman_corr	median_p__MX_euc	median_p__MX_corr	median_p__kTotal_euc	median_p__kTotal_corr	median_p__HVG_euc	median_p__HVG_corr	n_pairs__Variance_euc	n_pairs__Variance_corr	n_pairs__MAD_euc	n_pairs__MAD_corr	n_pairs__MeanAbsDev_euc	n_pairs__MeanAbsDev_corr	n_pairs__Entropy_euc	n_pairs__Entropy_corr	n_pairs__PCA_euc	n_pairs__PCA_corr	n_pairs__Spearman_euc	n_pairs__Spearman_corr	n_pairs__MX_euc	n_pairs__MX_corr	n_pairs__kTotal_euc	n_pairs__kTotal_corr	n_pairs__HVG_euc	n_pairs__HVG_corr	best_max_p	best_dir_max_p	best_frac_ge_thr	best_dir_frac_ge_thr
LAN2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.875	0.8181818181818182	0.6756756756756757	0.6666666666666666	0.5641025641025641	0.7142857142857143	0.7941176470588235	0.875	0.7941176470588235	0.875	0.02564102564102564	0.1	0.9375	1	1	1	0.6590909090909091	0.875	1	1	1	1	1	1	1	1	1	1	0.5	0.5	1	1	1	1	0.75	1	32	33	37	36	39	35	34	32	34	32	39	40	32	30	30	30	44	32	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	MX_corr;kTotal_euc;kTotal_corr
NBL_S	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8181818181818182	0.8181818181818182	0.4666666666666667	0.7647058823529411	0.391304347826087	0.875	0.5365853658536586	0.875	0.6190476190476191	0.7142857142857143	0.5384615384615384	0.023255813953488372	0.8823529411764706	1	1	1	0.6666666666666666	0.875	1	1	0.5	1	0.5	1	0.75	1	0.875	1	1	0.5	1	1	1	1	0.75	1	33	33	45	34	46	32	41	32	42	35	39	43	34	30	30	30	42	32	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	MX_corr;kTotal_euc;kTotal_corr
MHH_NB_11	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	0.875	0.8181818181818182	0.8529411764705882	0.8181818181818182	0.8	0.875	0.8787878787878788	0.8181818181818182	1	1	1	0	1	1	1	1	0.90625	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	32	33	34	33	35	32	33	33	30	30	30	44	30	30	30	30	32	30	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	PCA_euc;PCA_corr;Spearman_euc;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_corr
NGP	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0.6216216216216216	0.7647058823529411	0.6341463414634146	0.6666666666666666	0.6410256410256411	0.8181818181818182	0.4090909090909091	0.8181818181818182	0.7105263157894737	0.9354838709677419	0	1	0.9375	1	1	1	0.8	0.9354838709677419	1	1	1	1	1	1	0.5	1	1	1	0.5	1	1	1	1	1	1	1	37	34	41	36	39	33	44	33	38	31	40	30	32	30	30	30	35	31	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Spearman_corr;MX_corr;kTotal_euc;kTotal_corr
CHP_126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9354838709677419	0.875	0.6842105263157895	0.875	0.6944444444444444	0.875	0.7222222222222222	0.9354838709677419	0.8529411764705882	0.875	0.05263157894736842	1	0.9375	1	1	1	0.717948717948718	0.9354838709677419	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	31	32	38	32	36	32	36	31	34	32	38	30	32	30	30	30	39	31	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Spearman_corr;MX_corr;kTotal_euc;kTotal_corr
CHP_134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9354838709677419	0.7647058823529411	0.8285714285714286	0.7142857142857143	0.8484848484848485	0.6666666666666666	0.90625	0.8181818181818182	0.90625	0.8181818181818182	0.21212121212121213	1	0.9354838709677419	1	1	1	0.8484848484848485	0.875	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	31	34	35	35	33	36	32	33	32	33	33	30	31	30	30	30	33	32	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Spearman_corr;MX_corr;kTotal_euc;kTotal_corr
KELLY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9354838709677419	0.7647058823529411	0.575	0.6216216216216216	0.5897435897435898	0.875	0.6756756756756757	0.875	0.8787878787878788	0.9354838709677419	0.14285714285714285	1	0.9375	1	1	1	0.8333333333333334	0.9354838709677419	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	31	34	40	37	39	32	37	32	33	31	35	30	32	30	30	30	36	31	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Spearman_corr;MX_corr;kTotal_euc;kTotal_corr
LAN5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.875	0.7142857142857143	0.8285714285714286	0.7647058823529411	0.9090909090909091	0.8181818181818182	0.8235294117647058	0.9354838709677419	0.967741935483871	0.9354838709677419	0.05263157894736842	1	0.967741935483871	1	1	1	0.7428571428571429	0.9354838709677419	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	32	35	35	34	33	33	34	31	31	31	38	30	31	30	30	30	35	31	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Spearman_corr;MX_corr;kTotal_euc;kTotal_corr
NMB	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0.9354838709677419	0.875	0.7222222222222222	0.875	0.6052631578947368	0.875	0.7941176470588235	0.875	0.8529411764705882	0.875	0	1	1	1	1	1	0.7073170731707317	0.875	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	0.75	1	31	32	36	32	38	32	34	32	34	32	40	30	30	30	30	30	41	32	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr
IMR_32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7647058823529411	0.8181818181818182	0.8571428571428571	0.7647058823529411	0.8	0.7647058823529411	0.6756756756756757	0.875	0.9375	0.875	0.1111111111111111	1	1	1	1	1	0.7941176470588235	0.9354838709677419	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	34	33	35	34	35	34	37	32	32	32	36	30	30	30	30	30	34	31	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr
