cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
CHP_134	4	0.5678571428571428	0.6454212454212455	FALSE	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134
SK_N_BE_2	3	0.6158730158730159	0.6454212454212455	FALSE	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2
CHP_126	3	0.5863247863247864	0.7783882783882784	FALSE	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126
GI_ME_N	3	0.5863247863247864	0.6454212454212455	FALSE	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N
LAN1	3	0.5863247863247864	0.7783882783882784	FALSE	NG-A0611_LAN1_libLAB6085	LAN1	LAN1
CCLF_PEDS_0051_T	3	0.5715506715506715	0.6454212454212455	FALSE	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T
IMR_32	3	0.5124542124542124	0.5567765567765568	FALSE	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32
LAN5	3	0.4976800976800977	0.5567765567765568	FALSE	NG-A0611_LAN5_libLAB6087	LAN5	LAN5
LS	2	0.5789377289377289	0.6454212454212455	FALSE	NG-A0611_LS_libLAB6078	LS	LS
NGP	2	0.5567765567765568	0.6010989010989011	FALSE	NG-A0611_NGP_libLAB6082	NGP	NGP
KELLY	2	0.5346153846153846	0.5567765567765568	FALSE	NG-A0611_KELLY_libLAB6075	KELLY	KELLY
NBL_S	1	0.6010989010989011	0.6010989010989011	FALSE	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S
LAN2	1	0.46813186813186813	0.46813186813186813	FALSE	NG-A0611_LAN2_libLAB6083	LAN2	LAN2
NMB	1	0.46813186813186813	0.46813186813186813	FALSE	NG-A0611_NMB_libLAB6080	NMB	NMB
LAN6	0	NA	NA	TRUE	NG-A0611_LAN6_libLAB6089	LAN6	LAN6
MHH_NB_11	0	NA	NA	TRUE	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11
SH_SY5Y	0	NA	NA	TRUE	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y
SIMA	0	NA	NA	TRUE	NG-A0611_SIMA_libLAB6086	SIMA	SIMA
