cell_line1	cell_line2	similarity	sample_id1	cell_line1_display	sample_id2	cell_line2_display
CCLF_PEDS_0051_T	CHP_126	-0.15238095238095237	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_CHP126_libLAB6088	CHP_126
CCLF_PEDS_0051_T	CHP_134	0.4238095238095238	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_CHP134_libLAB6074	CHP_134
CHP_126	CHP_134	0.15787545787545787	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_CHP134_libLAB6074	CHP_134
CCLF_PEDS_0051_T	GI_ME_N	0.6454212454212455	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_GIMEN_libLAB6073	GI_ME_N
CHP_126	GI_ME_N	-0.06373626373626373	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_GIMEN_libLAB6073	GI_ME_N
CHP_134	GI_ME_N	0.46813186813186813	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_GIMEN_libLAB6073	GI_ME_N
CCLF_PEDS_0051_T	IMR_32	-0.019413919413919414	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_IMR32_libLAB6079	IMR_32
CHP_126	IMR_32	0.5124542124542124	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_IMR32_libLAB6079	IMR_32
CHP_134	IMR_32	0.4238095238095238	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_IMR32_libLAB6079	IMR_32
GI_ME_N	IMR_32	-0.019413919413919414	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_IMR32_libLAB6079	IMR_32
CCLF_PEDS_0051_T	KELLY	0.24652014652014653	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_KELLY_libLAB6075	KELLY
CHP_126	KELLY	0.29084249084249086	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_KELLY_libLAB6075	KELLY
CHP_134	KELLY	0.5567765567765568	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_KELLY_libLAB6075	KELLY
GI_ME_N	KELLY	0.24652014652014653	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_KELLY_libLAB6075	KELLY
IMR_32	KELLY	0.37948717948717947	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_KELLY_libLAB6075	KELLY
CCLF_PEDS_0051_T	LAN1	-0.06373626373626373	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LAN1_libLAB6085	LAN1
CHP_126	LAN1	0.7783882783882784	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN1_libLAB6085	LAN1
CHP_134	LAN1	0.33516483516483514	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN1_libLAB6085	LAN1
GI_ME_N	LAN1	0.02490842490842491	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_LAN1_libLAB6085	LAN1
IMR_32	LAN1	0.46813186813186813	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LAN1_libLAB6085	LAN1
KELLY	LAN1	0.37948717948717947	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LAN1_libLAB6085	LAN1
CCLF_PEDS_0051_T	LAN2	0.46813186813186813	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LAN2_libLAB6083	LAN2
CHP_126	LAN2	-0.24102564102564103	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN2_libLAB6083	LAN2
CHP_134	LAN2	0.2021978021978022	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN2_libLAB6083	LAN2
GI_ME_N	LAN2	0.29084249084249086	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_LAN2_libLAB6083	LAN2
IMR_32	LAN2	-0.06373626373626373	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LAN2_libLAB6083	LAN2
KELLY	LAN2	0.24652014652014653	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LAN2_libLAB6083	LAN2
LAN1	LAN2	-0.15238095238095237	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_LAN2_libLAB6083	LAN2
CCLF_PEDS_0051_T	LAN5	-0.24102564102564103	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LAN5_libLAB6087	LAN5
CHP_126	LAN5	0.46813186813186813	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN5_libLAB6087	LAN5
CHP_134	LAN5	0.15787545787545787	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN5_libLAB6087	LAN5
GI_ME_N	LAN5	-0.15238095238095237	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_LAN5_libLAB6087	LAN5
IMR_32	LAN5	0.5567765567765568	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LAN5_libLAB6087	LAN5
KELLY	LAN5	0.15787545787545787	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LAN5_libLAB6087	LAN5
LAN1	LAN5	0.4238095238095238	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_LAN5_libLAB6087	LAN5
LAN2	LAN5	-0.06373626373626373	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_LAN5_libLAB6087	LAN5
CCLF_PEDS_0051_T	LAN6	-0.10805860805860806	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LAN6_libLAB6089	LAN6
CHP_126	LAN6	0.24652014652014653	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LAN6_libLAB6089	LAN6
CHP_134	LAN6	-0.019413919413919414	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LAN6_libLAB6089	LAN6
GI_ME_N	LAN6	-0.10805860805860806	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_LAN6_libLAB6089	LAN6
IMR_32	LAN6	-0.10805860805860806	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LAN6_libLAB6089	LAN6
KELLY	LAN6	0.15787545787545787	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LAN6_libLAB6089	LAN6
LAN1	LAN6	0.29084249084249086	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_LAN6_libLAB6089	LAN6
LAN2	LAN6	-0.1967032967032967	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_LAN6_libLAB6089	LAN6
LAN5	LAN6	-0.06373626373626373	NG-A0611_LAN5_libLAB6087	LAN5	NG-A0611_LAN6_libLAB6089	LAN6
CCLF_PEDS_0051_T	LS	0.33516483516483514	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_LS_libLAB6078	LS
CHP_126	LS	0.29084249084249086	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_LS_libLAB6078	LS
CHP_134	LS	0.6454212454212455	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_LS_libLAB6078	LS
GI_ME_N	LS	0.29084249084249086	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_LS_libLAB6078	LS
IMR_32	LS	0.4238095238095238	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_LS_libLAB6078	LS
KELLY	LS	0.5124542124542124	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_LS_libLAB6078	LS
LAN1	LS	0.33516483516483514	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_LS_libLAB6078	LS
LAN2	LS	0.11355311355311355	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_LS_libLAB6078	LS
LAN5	LS	0.24652014652014653	NG-A0611_LAN5_libLAB6087	LAN5	NG-A0611_LS_libLAB6078	LS
LAN6	LS	-0.10805860805860806	NG-A0611_LAN6_libLAB6089	LAN6	NG-A0611_LS_libLAB6078	LS
CCLF_PEDS_0051_T	MHH_NB_11	-0.15238095238095237	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
CHP_126	MHH_NB_11	0.02490842490842491	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
CHP_134	MHH_NB_11	-0.06373626373626373	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
