cell_line_group	cell_line_cancer_type	tumour_cancer_type_used_for_filtering	same_cancer_type_tumours_available	n_same_cancer_type_tumours_retained	top_n_cutoff_used	component_id	component_label	component_dominant_lineage	component_size	component_tumour_count	component_purity	n_retained_tumours_in_component	fraction_retained_tumours_in_component
BT_474	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
BT_474	BRCA	BRCA	818	50	50	7	Component 7	BRCA	4	4	1	1	0.02
CAL_120	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
CAL_120	BRCA	BRCA	818	50	50	12	Component 12	BRCA	2	2	1	1	0.02
CAL_148	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
CAL_51	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	47	0.94
CAL_51	BRCA	BRCA	818	50	50	18	Component 18	BRCA	1	1	1	1	0.02
CAL_51	BRCA	BRCA	818	50	50	21	Component 21	BRCA	1	1	1	1	0.02
CAL_51	BRCA	BRCA	818	50	50	35	Component 35	BRCA	2	2	1	1	0.02
CAL_85_1	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
COLO_824	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
DU_4475	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	45	0.9
DU_4475	BRCA	BRCA	818	50	50	2	Component 2	BRCA	5	4	1	2	0.04
DU_4475	BRCA	BRCA	818	50	50	11	Component 11	BRCA	1	1	1	1	0.02
DU_4475	BRCA	BRCA	818	50	50	41	Component 41	BRCA	1	1	1	1	0.02
DU_4475	BRCA	BRCA	818	50	50	52	Component 52	BRCA	1	1	1	1	0.02
EFM_19	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
EFM_192A	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
EFM_192B	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
EFM_192C	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
ETCC_006	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
ETCC_006	BRCA	BRCA	818	50	50	12	Component 12	BRCA	2	2	1	1	0.02
ETCC_007	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
EVSA_T	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
EVSA_T	BRCA	BRCA	818	50	50	16	Component 16	BRCA	2	2	1	1	0.02
HCC_1143	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
HCC_1599	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
HCC_1937	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	48	0.96
HCC_1937	BRCA	BRCA	818	50	50	16	Component 16	BRCA	2	2	1	1	0.02
HCC_1937	BRCA	BRCA	818	50	50	8	Component 8	BRCA	1	1	1	1	0.02
HDQ_P1	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	48	0.96
HDQ_P1	BRCA	BRCA	818	50	50	12	Component 12	BRCA	2	2	1	1	0.02
HDQ_P1	BRCA	BRCA	818	50	50	14	Component 14	BRCA	1	1	1	1	0.02
HS_578T_B	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	48	0.96
HS_578T_B	BRCA	BRCA	818	50	50	12	Component 12	BRCA	2	2	1	1	0.02
HS_578T_B	BRCA	BRCA	818	50	50	18	Component 18	BRCA	1	1	1	1	0.02
IPH_926	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
IPH_926	BRCA	BRCA	818	50	50	8	Component 8	BRCA	1	1	1	1	0.02
JIMT_1_B	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
JIMT_1_B	BRCA	BRCA	818	50	50	12	Component 12	BRCA	2	2	1	1	0.02
KPL_1	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
KPL_1	BRCA	BRCA	818	50	50	52	Component 52	BRCA	1	1	1	1	0.02
MCF_7	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
MDA_MB_231	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
MDA_MB_231	BRCA	BRCA	818	50	50	12	Component 12	BRCA	2	2	1	1	0.02
MDA_MB_453	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
MDA_MB_468_B	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	48	0.96
MDA_MB_468_B	BRCA	BRCA	818	50	50	16	Component 16	BRCA	2	2	1	1	0.02
MDA_MB_468_B	BRCA	BRCA	818	50	50	26	Component 26	BRCA	3	3	1	1	0.02
MFM_223	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
MFM_223	BRCA	BRCA	818	50	50	26	Component 26	BRCA	3	3	1	1	0.02
SK_BR_3	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	47	0.94
SK_BR_3	BRCA	BRCA	818	50	50	16	Component 16	BRCA	2	2	1	1	0.02
SK_BR_3	BRCA	BRCA	818	50	50	26	Component 26	BRCA	3	3	1	1	0.02
SK_BR_3	BRCA	BRCA	818	50	50	39	Component 39	BRCA	1	1	1	1	0.02
T_47D	BRCA	BRCA	818	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
CCLF_PEDS_0051_T	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
CHP126	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
CHP134	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	47	0.94
CHP134	NBL	NBL	244	50	50	58	Component 58	NBL	3	1	1	1	0.02
CHP134	NBL	NBL	244	50	50	62	Component 62	NBL	1	1	1	1	0.02
CHP134	NBL	NBL	244	50	50	64	Component 64	NBL	1	1	1	1	0.02
GIMEN	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
IMR32	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
IMR32	NBL	NBL	244	50	50	62	Component 62	NBL	1	1	1	1	0.02
KELLY	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
KELLY	NBL	NBL	244	50	50	64	Component 64	NBL	1	1	1	1	0.02
LAN1	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	48	0.96
LAN1	NBL	NBL	244	50	50	36	Component 36	BRCA	2	2	0.5	1	0.02
LAN1	NBL	NBL	244	50	50	62	Component 62	NBL	1	1	1	1	0.02
LAN2	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
LAN5	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
LAN6	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	48	0.96
LAN6	NBL	NBL	244	50	50	60	Component 60	NBL	5	3	1	2	0.04
LS	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
LS	NBL	NBL	244	50	50	36	Component 36	BRCA	2	2	0.5	1	0.02
MHHNB11	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
NBLS	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
NGP	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
NMB	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
SHSY5Y	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
SIMA	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
SKNBE2	NBL	NBL	244	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
RBL_13	RBL	RBL	66	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
RBL_13	RBL	RBL	66	50	50	70	Component 70	RBL	9	8	1	1	0.02
RBL_14	RBL	RBL	66	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
RBL_15	RBL	RBL	66	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
RBL_15	RBL	RBL	66	50	50	70	Component 70	RBL	9	8	1	1	0.02
RBL_18	RBL	RBL	66	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
RBL_18	RBL	RBL	66	50	50	69	Component 69	RBL	2	1	1	1	0.02
RBL_20	RBL	RBL	66	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	49	0.98
RBL_20	RBL	RBL	66	50	50	69	Component 69	RBL	2	1	1	1	0.02
RBL_30	RBL	RBL	66	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	1
RBL_7	RBL	RBL	66	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	48	0.96
RBL_7	RBL	RBL	66	50	50	69	Component 69	RBL	2	1	1	1	0.02
RBL_7	RBL	RBL	66	50	50	70	Component 70	RBL	9	8	1	1	0.02
WERI_RB1	RBL	RBL	66	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	42	0.84
WERI_RB1	RBL	RBL	66	50	50	70	Component 70	RBL	9	8	1	6	0.12
WERI_RB1	RBL	RBL	66	50	50	69	Component 69	RBL	2	1	1	1	0.02
WERI_RB1	RBL	RBL	66	50	50	71	Component 71	RBL	2	1	1	1	0.02
Y_79	RBL	RBL	66	50	50	1	Component 1	BRCA	1079	1038	0.720616570327553	41	0.82
Y_79	RBL	RBL	66	50	50	70	Component 70	RBL	9	8	1	7	0.14
Y_79	RBL	RBL	66	50	50	69	Component 69	RBL	2	1	1	1	0.02
Y_79	RBL	RBL	66	50	50	71	Component 71	RBL	2	1	1	1	0.02
