cohort	sample_id	cell_line_name	normalised_cell_line_id	source_object	analysis_status	data_level	notes
BRCA	NG-29643_CAL_120_lib581301_8005_3	CAL-120	CAL_120	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_CAL_148_lib581302_7997_4	CAL-148	CAL_148	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_CAL_51_lib581295_7997_4	CAL-51	CAL_51	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_CAL_85_1_lib581300_7997_4	CAL-85-1	CAL_85_1	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_COLO_824_lib581290_7997_4	COLO-824	COLO_824	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_DU_4475_lib581298_7997_4	DU-4475	DU_4475	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_EFM_19_lib581291_7997_4	EFM-19	EFM_19	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_EFM_192A_lib581292_7997_4	EFM-192A	EFM_192A	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_EFM_192B_lib581293_7997_4	EFM-192B	EFM_192B	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_EFM_192C_lib581294_7997_4	EFM-192C	EFM_192C	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_ETCC_006_lib581311_8005_3	ETCC-006	ETCC_006	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_ETCC_007_lib581312_7997_4	ETCC-007	ETCC_007	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_EVSA_T_lib581299_7997_4	EVSA-T	EVSA_T	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_HCC_1143_lib581306_7997_4	HCC-1143	HCC_1143	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
