method	gene_id	clean_gene_id	gene_id_raw	gene_symbol	gene_name	direction	direction_consistent	feature_class	evidence_class	evidence_classes	owner_profile	cohort	profiles_present	n_profiles	marker_source_class	retained_marker_source_classes	source_contrast	source_file	source_marker_ranks	marker_source_recurrence_detail	ranking_component_keys	selected_rule_key	rank_within_candidate_pool	best_padj_rank_within_pool	source_count	marker_source_class_source_count	n_retained_contrasts	n_anchor_contrasts	n_isolate_contrasts	min_padj	median_padj	max_abs_log2FC	median_abs_log2FC	median_log2FC	mean_baseMean	median_baseMean	max_baseMean	best_marker_rank	source_rank	selection_rank
ranked_marker_source_pan_cancer_panel	ENSG00000011347	ENSG00000011347	ENSG00000011347	SYT7	synaptotagmin 7	DOWN	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:134;anchor_MDA_MB_231_vs_outside_component_1:34	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000011347	relaxed_iqr_median_baseMean	1	1	2	4	2	2	0	1.1510192584353e-16	0.007598018955352608	8.30603772115615	5.623713505521425	-5.623713505521425	4001.55297734093	4001.55297734093	4016.44398198466	34	NA	1
ranked_marker_source_pan_cancer_panel	ENSG00000138395	ENSG00000138395	ENSG00000138395	CDK15	cyclin dependent kinase 15	UP	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:8;anchor_MDA_MB_231_vs_outside_component_1:7	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000138395	relaxed_iqr_median_baseMean	2	2	2	4	2	2	0	2.89151830155679e-10	4.2143136114100294e-08	10.5458200387267	10.1728654737628	10.1728654737628	29.309107765380148	29.309107765380148	36.6249908418355	7	NA	2
ranked_marker_source_pan_cancer_panel	ENSG00000144810	ENSG00000144810	ENSG00000144810	COL8A1	collagen type VIII alpha 1 chain	UP	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:3;anchor_MDA_MB_231_vs_outside_component_1:2	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000144810	relaxed_iqr_median_baseMean	3	3	2	4	2	2	0	1.49154132303015e-09	1.9013181713271765e-05	12.786306114773	11.6063051858094	11.6063051858094	405.645583914461	405.645583914461	678.172476407255	2	NA	3
ranked_marker_source_pan_cancer_panel	ENSG00000085831	ENSG00000085831	ENSG00000085831	TTC39A	tetratricopeptide repeat domain 39A	DOWN	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:91;anchor_MDA_MB_231_vs_outside_component_1:83	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000085831	relaxed_iqr_median_baseMean	4	4	2	4	2	2	0	3.0426101540266103e-09	0.000891656075520527	6.36461338155347	5.138448470503275	-5.138448470503275	3840.641959618125	3840.641959618125	3846.75940157741	83	NA	4
ranked_marker_source_pan_cancer_panel	ENSG00000181392	ENSG00000181392	ENSG00000181392	SYNE4	spectrin repeat containing nuclear envelope family member 4	DOWN	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:163;anchor_MDA_MB_231_vs_outside_component_1:142	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000181392	relaxed_iqr_median_baseMean	5	5	2	4	2	2	0	1.35225270525763e-07	0.01825776265022291	5.2193701293176	3.906062842532215	-3.906062842532215	871.1343602162644	871.1343602162644	874.673640747399	142	NA	5
ranked_marker_source_pan_cancer_panel	ENSG00000142227	ENSG00000142227	ENSG00000142227	EMP3	epithelial membrane protein 3	UP	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:54;anchor_MDA_MB_231_vs_outside_component_1:55	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000142227	relaxed_iqr_median_baseMean	6	6	2	4	2	2	0	5.13129668282008e-07	0.002281344170836191	7.16604352418157	6.056032715496255	6.056032715496255	229.9681949762415	229.9681949762415	354.453846887271	54	NA	6
ranked_marker_source_pan_cancer_panel	ENSG00000228526	ENSG00000228526	ENSG00000228526	MIR34AHG	MIR34A host gene	DOWN	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:118;anchor_MDA_MB_231_vs_outside_component_1:184	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000228526	relaxed_iqr_median_baseMean	7	7	2	4	2	2	0	8.24008918713516e-06	0.004594329869455917	4.7812903428134	3.9872594137359654	-3.9872594137359654	454.82620497046696	454.82620497046696	455.798074557203	118	NA	7
ranked_marker_source_pan_cancer_panel	ENSG00000213214	ENSG00000213214	ENSG00000213214	ARHGEF35	Rho guanine nucleotide exchange factor 35	DOWN	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:127;anchor_MDA_MB_231_vs_outside_component_1:146	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000213214	relaxed_iqr_median_baseMean	8	8	2	4	2	2	0	8.47457251362856e-06	0.013238892739784115	5.19788805402665	4.12859664817824	-4.12859664817824	464.22670513016396	464.22670513016396	465.487293404335	127	NA	8
ranked_marker_source_pan_cancer_panel	ENSG00000124664	ENSG00000124664	ENSG00000124664	SPDEF	SAM pointed domain containing ETS transcription factor	DOWN	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:10;anchor_MDA_MB_231_vs_outside_component_1:131	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000124664	relaxed_iqr_median_baseMean	9	9	2	4	2	2	0	2.98441557158572e-05	0.004673235632149379	8.40050163551308	6.8868936791080655	-6.8868936791080655	8037.30607518519	8037.30607518519	8042.30556745496	10	NA	9
ranked_marker_source_pan_cancer_panel	ENSG00000139278	ENSG00000139278	ENSG00000139278	GLIPR1	GLI pathogenesis related 1	UP	True	anchor_source_recurrent	anchor_source_recurrent	anchor_source_recurrent	brca	brca	brca	1	anchor	anchor	anchor_HCC_1143_vs_outside_component_1;anchor_MDA_MB_231_vs_outside_component_1	results/unsupervised/brca/deseq2_markers/markers/anchor_HCC_1143_vs_outside_component_1_markers_top200.txt;results/unsupervised/brca/deseq2_markers/markers/anchor_MDA_MB_231_vs_outside_component_1_markers_top200.txt	anchor_HCC_1143_vs_outside_component_1:64;anchor_MDA_MB_231_vs_outside_component_1:135	anchor:2/4	brca|anchor|marker_source_recurrent|ENSG00000139278	relaxed_iqr_median_baseMean	10	10	2	4	2	2	0	0.0001901995308263	0.0022571657864706	5.33261583966159	4.994408756854285	4.994408756854285	92.81147366756414	92.81147366756414	106.888638729959	64	NA	10
