cancer_type	cell_line	display_label	lineage_status	is_displayed_model	selection_rank	n_patient_samples	n_total_models	median_rank	median_score	rank_IQR_lower	rank_IQR_upper	top10_count	top10_fraction	top10_ci_lower	top10_ci_upper
BRCA	CAL_120	CAL-120	same_lineage	FALSE		818	56	24	0.108871	16	26	148	0.1809	0.1561	0.2088
BRCA	CAL_148	CAL-148	same_lineage	FALSE		818	56	12	0.29702	7	17	323	0.3949	0.3619	0.4288
BRCA	CAL_51	CAL-51	same_lineage	FALSE		818	56	22	0.140367	14	24	124	0.1516	0.1286	0.1778
BRCA	CAL_85_1	CAL-85-1	same_lineage	FALSE		818	56	18	0.202051	7	21	288	0.3521	0.3201	0.3854
BRCA	COLO_824	COLO-824	same_lineage	FALSE		818	56	20	0.163876	17	23	131	0.1601	0.1366	0.1869
BRCA	DU_4475	DU-4475	same_lineage	FALSE		818	56	26	0.062884	21	30	6	0.0073	0.0034	0.0159
BRCA	EFM_19	EFM-19	same_lineage	FALSE		818	56	11	0.287784	7	20.75	383	0.4682	0.4342	0.5025
BRCA	EFM_192A	EFM-192A	same_lineage	TRUE	1	818	56	8	0.313852	4	16	494	0.6039	0.57	0.6369
BRCA	EFM_192B	EFM-192B	same_lineage	FALSE		818	56	12	0.298	6	16	355	0.434	0.4004	0.4682
BRCA	EFM_192C	EFM-192C	same_lineage	FALSE		818	56	11	0.288541	6	22	374	0.4572	0.4234	0.4915
BRCA	ETCC_006	ETCC-006	same_lineage	FALSE		818	56	26	0.083403	14	29	155	0.1895	0.1641	0.2178
BRCA	ETCC_007	ETCC-007	same_lineage	FALSE		818	56	23	0.116261	12	26	186	0.2274	0.2	0.2573
BRCA	EVSA_T	EVSA-T	same_lineage	FALSE		818	56	13	0.276472	9	20	279	0.3411	0.3094	0.3742
BRCA	HCC_1143	HCC-1143	same_lineage	FALSE		818	56	20	0.191255	8	22	239	0.2922	0.262	0.3243
BRCA	HCC_1599	HCC-1599	same_lineage	FALSE		818	56	18	0.210785	13	20	180	0.22	0.193	0.2497
BRCA	HCC_1937	HCC-1937	same_lineage	FALSE		818	56	12	0.278564	7	16	355	0.434	0.4004	0.4682
