cell_line_raw	cell_line_group	cell_lineage	collapse_rule	retained_for_primary_analysis
NG-29643_CAL_120_lib581301_8005_3	CAL_120	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_CAL_148_lib581302_7997_4	CAL_148	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_CAL_51_lib581295_7997_4	CAL_51	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_COLO_824_lib581290_7997_4	COLO_824	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_DU_4475_lib581298_7997_4	DU_4475	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_EFM_19_lib581291_7997_4	EFM_19	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	BRCA	mean_score_across_replicate_profiles	TRUE
NG-30919_HS_578T_B_lib628473_10098_2	HS_578T_B	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_IPH_926_lib581313_7997_4	IPH_926	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1_B	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_KPL_1_lib581296_7997_4	KPL_1	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_MCF_7_lib581315_7997_4	MCF_7	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	BRCA	mean_score_across_replicate_profiles	TRUE
NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468_B	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_MFM_223_lib581297_7997_4	MFM_223	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_T_47D_lib581309_8005_3	T_47D	BRCA	mean_score_across_replicate_profiles	TRUE
NG-29643_BT_474_lib581288_7997_4	BT_474	BRCA	mean_score_across_replicate_profiles	TRUE
NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_CHP126_libLAB6088	CHP126	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_CHP134_libLAB6074	CHP134	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_GIMEN_libLAB6073	GIMEN	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_IMR32_libLAB6079	IMR32	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_KELLY_libLAB6075	KELLY	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_LAN1_libLAB6085	LAN1	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_LAN2_libLAB6083	LAN2	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_LAN5_libLAB6087	LAN5	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_LAN6_libLAB6089	LAN6	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_LS_libLAB6078	LS	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_MHHNB11_libLAB6084	MHHNB11	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_NBLS_libLAB6077	NBLS	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_NGP_libLAB6082	NGP	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_NMB_libLAB6080	NMB	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_SHSY5Y_libLAB6081	SHSY5Y	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_SIMA_libLAB6086	SIMA	NBL	mean_score_across_replicate_profiles	TRUE
NG-A0611_SKNBE2_libLAB6076	SKNBE2	NBL	mean_score_across_replicate_profiles	TRUE
NG-30919_RBL_13_lib628469_10098_1	RBL_13	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_RBL_14_lib628470_10098_1	RBL_14	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_RBL_15_lib626622_10098_2	RBL_15	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_RBL_15_lib626622_10102_4	RBL_15	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_RBL_18_lib626623_10098_1	RBL_18	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_RBL_20_lib626624_10098_1	RBL_20	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_RBL_20_lib626624_10102_3	RBL_20	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_RBL_30_lib628471_10098_1	RBL_30	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_RBL_7_lib628468_10098_1	RBL_7	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_WERI_RB1_lib628472_10098_1	WERI_RB1	RBL	mean_score_across_replicate_profiles	TRUE
NG-30919_Y_79_lib626626_10098_1	Y_79	RBL	mean_score_across_replicate_profiles	TRUE
