cohort	representation	cell_tech_id	tumour_id	n_methods	p_consensus	sample_id	cell_line	cell_line_canonical	cell_line_display
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-AC-A2FM-01A-11R-A19W-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-AR-A0U3-01A-11R-A109-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-B6-A0RO-01A-22R-A084-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-B6-A0WV-01A-11R-A109-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-BH-A0E7-01A-11R-A034-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-BH-A1F5-01A-12R-A13Q-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-C8-A274-01A-11R-A16F-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-E2-A106-01A-11R-A10J-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-E2-A107-01A-11R-A10J-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-E2-A156-01A-11R-A12D-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-E2-A15G-01A-11R-A12D-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-E2-A15T-01A-11R-A115-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-E2-A1IE-01A-11R-A13Q-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-E9-A1RE-01A-11R-A157-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
brca	Entropy_corr	NG-29643_BT_474_lib581288_7997_4	TCGA-GM-A5PV-01A-11R-A28M-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
